feature_temperature,feature_relative_humidity,feature_absolute_humidity,feature_hour_sin,feature_hour_cos,feature_dayofweek_sin,feature_dayofweek_cos,intermediate_sensor_co,intermediate_sensor_nmhc,intermediate_sensor_nox,intermediate_sensor_no2,intermediate_sensor_o3,target_co,target_benzene,target_nox,target_no2,split
13.6,48.9,0.7578,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,1360.0,1046.0,1056.0,1692.0,1268.0,2.6,11.9,166.0,113.0,train
13.3,47.7,0.7255,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,1292.0,955.0,1174.0,1559.0,972.0,2.0,9.4,103.0,92.0,train
11.9,54.0,0.7502,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,1402.0,939.0,1140.0,1555.0,1074.0,2.2,9.0,131.0,114.0,train
11.0,60.0,0.7867,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434,1376.0,948.0,1092.0,1584.0,1203.0,2.2,9.2,172.0,122.0,train
11.2,59.6,0.7888,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,1272.0,836.0,1205.0,1490.0,1110.0,1.6,6.5,131.0,116.0,train
11.2,59.2,0.7848,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,1197.0,750.0,1337.0,1393.0,949.0,1.2,4.7,89.0,96.0,train
11.3,56.8,0.7603,0.0,1.0,0.43388373911755823,-0.900968867902419,1185.0,690.0,1462.0,1333.0,733.0,1.2,3.6,62.0,77.0,train
10.7,60.0,0.7702,0.25881904510252074,0.9659258262890683,0.43388373911755823,-0.900968867902419,1136.0,672.0,1453.0,1333.0,730.0,1.0,3.3,62.0,76.0,train
10.7,59.7,0.7648,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,1094.0,609.0,1579.0,1276.0,620.0,0.9,2.3,45.0,60.0,train
10.3,60.2,0.7517,0.7071067811865475,0.7071067811865476,0.43388373911755823,-0.900968867902419,1010.0,561.0,1705.0,1235.0,501.0,0.6,1.7,,,train
10.1,60.5,0.7465,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,1011.0,527.0,1818.0,1197.0,445.0,,1.3,21.0,34.0,train
