feature_frequency,feature_angle_of_attack,feature_chord_length,feature_free_stream_velocity,intermediate_suction_side_displacement_thickness,target_scaled_sound_pressure_level,ID_row
800,0.0,0.3048,71.3,0.00266337,126.201,0
1000,0.0,0.3048,71.3,0.00266337,125.201,1
1250,0.0,0.3048,71.3,0.00266337,125.951,2
1600,0.0,0.3048,71.3,0.00266337,127.591,3
2000,0.0,0.3048,71.3,0.00266337,127.461,4
2500,0.0,0.3048,71.3,0.00266337,125.571,5
3150,0.0,0.3048,71.3,0.00266337,125.201,6
4000,0.0,0.3048,71.3,0.00266337,123.061,7
5000,0.0,0.3048,71.3,0.00266337,121.301,8
6300,0.0,0.3048,71.3,0.00266337,119.541,9
8000,0.0,0.3048,71.3,0.00266337,117.151,10
10000,0.0,0.3048,71.3,0.00266337,115.391,11
12500,0.0,0.3048,71.3,0.00266337,112.241,12
16000,0.0,0.3048,71.3,0.00266337,108.721,13
500,0.0,0.3048,55.5,0.00283081,126.416,14
630,0.0,0.3048,55.5,0.00283081,127.696,15
800,0.0,0.3048,55.5,0.00283081,128.086,16
1000,0.0,0.3048,55.5,0.00283081,126.966,17
1250,0.0,0.3048,55.5,0.00283081,126.086,18
1600,0.0,0.3048,55.5,0.00283081,126.986,19
2000,0.0,0.3048,55.5,0.00283081,126.616,20
2500,0.0,0.3048,55.5,0.00283081,124.106,21
3150,0.0,0.3048,55.5,0.00283081,123.236,22
4000,0.0,0.3048,55.5,0.00283081,121.106,23
5000,0.0,0.3048,55.5,0.00283081,119.606,24
6300,0.0,0.3048,55.5,0.00283081,117.976,25
8000,0.0,0.3048,55.5,0.00283081,116.476,26
10000,0.0,0.3048,55.5,0.00283081,113.076,27
12500,0.0,0.3048,55.5,0.00283081,111.076,28
200,0.0,0.3048,39.6,0.00310138,118.129,29
250,0.0,0.3048,39.6,0.00310138,119.319,30
315,0.0,0.3048,39.6,0.00310138,122.779,31
400,0.0,0.3048,39.6,0.00310138,124.809,32
500,0.0,0.3048,39.6,0.00310138,126.959,33
630,0.0,0.3048,39.6,0.00310138,128.629,34
800,0.0,0.3048,39.6,0.00310138,129.099,35
1000,0.0,0.3048,39.6,0.00310138,127.899,36
1250,0.0,0.3048,39.6,0.00310138,125.499,37
1600,0.0,0.3048,39.6,0.00310138,124.049,38
2000,0.0,0.3048,39.6,0.00310138,123.689,39
2500,0.0,0.3048,39.6,0.00310138,121.399,40
3150,0.0,0.3048,39.6,0.00310138,120.319,41
4000,0.0,0.3048,39.6,0.00310138,119.229,42
5000,0.0,0.3048,39.6,0.00310138,117.789,43
6300,0.0,0.3048,39.6,0.00310138,116.229,44
8000,0.0,0.3048,39.6,0.00310138,114.779,45
10000,0.0,0.3048,39.6,0.00310138,112.139,46
12500,0.0,0.3048,39.6,0.00310138,109.619,47
200,0.0,0.3048,31.7,0.00331266,117.195,48
250,0.0,0.3048,31.7,0.00331266,118.595,49
315,0.0,0.3048,31.7,0.00331266,122.765,50
400,0.0,0.3048,31.7,0.00331266,125.045,51
500,0.0,0.3048,31.7,0.00331266,127.315,52
630,0.0,0.3048,31.7,0.00331266,129.095,53
800,0.0,0.3048,31.7,0.00331266,129.235,54
1000,0.0,0.3048,31.7,0.00331266,127.365,55
1250,0.0,0.3048,31.7,0.00331266,124.355,56
1600,0.0,0.3048,31.7,0.00331266,122.365,57
2000,0.0,0.3048,31.7,0.00331266,122.375,58
2500,0.0,0.3048,31.7,0.00331266,120.755,59
3150,0.0,0.3048,31.7,0.00331266,119.135,60
4000,0.0,0.3048,31.7,0.00331266,118.145,61
5000,0.0,0.3048,31.7,0.00331266,115.645,62
6300,0.0,0.3048,31.7,0.00331266,113.775,63
8000,0.0,0.3048,31.7,0.00331266,110.515,64
10000,0.0,0.3048,31.7,0.00331266,108.265,65
800,1.5,0.3048,71.3,0.00336729,127.122,66
1000,1.5,0.3048,71.3,0.00336729,125.992,67
1250,1.5,0.3048,71.3,0.00336729,125.872,68
1600,1.5,0.3048,71.3,0.00336729,126.632,69
2000,1.5,0.3048,71.3,0.00336729,126.642,70
2500,1.5,0.3048,71.3,0.00336729,124.512,71
3150,1.5,0.3048,71.3,0.00336729,123.392,72
4000,1.5,0.3048,71.3,0.00336729,121.762,73
5000,1.5,0.3048,71.3,0.00336729,119.632,74
6300,1.5,0.3048,71.3,0.00336729,118.122,75
8000,1.5,0.3048,71.3,0.00336729,115.372,76
10000,1.5,0.3048,71.3,0.00336729,113.492,77
12500,1.5,0.3048,71.3,0.00336729,109.222,78
16000,1.5,0.3048,71.3,0.00336729,106.582,79
315,1.5,0.3048,39.6,0.00392107,121.851,80
400,1.5,0.3048,39.6,0.00392107,124.001,81
500,1.5,0.3048,39.6,0.00392107,126.661,82
630,1.5,0.3048,39.6,0.00392107,128.311,83
800,1.5,0.3048,39.6,0.00392107,128.831,84
1000,1.5,0.3048,39.6,0.00392107,127.581,85
1250,1.5,0.3048,39.6,0.00392107,125.211,86
1600,1.5,0.3048,39.6,0.00392107,122.211,87
2000,1.5,0.3048,39.6,0.00392107,122.101,88
2500,1.5,0.3048,39.6,0.00392107,120.981,89
3150,1.5,0.3048,39.6,0.00392107,119.111,90
4000,1.5,0.3048,39.6,0.00392107,117.741,91
5000,1.5,0.3048,39.6,0.00392107,116.241,92
6300,1.5,0.3048,39.6,0.00392107,114.751,93
8000,1.5,0.3048,39.6,0.00392107,112.251,94
10000,1.5,0.3048,39.6,0.00392107,108.991,95
12500,1.5,0.3048,39.6,0.00392107,106.111,96
400,3.0,0.3048,71.3,0.00425727,127.564,97
500,3.0,0.3048,71.3,0.00425727,128.454,98
630,3.0,0.3048,71.3,0.00425727,129.354,99
800,3.0,0.3048,71.3,0.00425727,129.494,100
1000,3.0,0.3048,71.3,0.00425727,129.004,101
1250,3.0,0.3048,71.3,0.00425727,127.634,102
1600,3.0,0.3048,71.3,0.00425727,126.514,103
2000,3.0,0.3048,71.3,0.00425727,125.524,104
2500,3.0,0.3048,71.3,0.00425727,124.024,105
3150,3.0,0.3048,71.3,0.00425727,121.514,106
4000,3.0,0.3048,71.3,0.00425727,120.264,107
5000,3.0,0.3048,71.3,0.00425727,118.134,108
6300,3.0,0.3048,71.3,0.00425727,116.134,109
8000,3.0,0.3048,71.3,0.00425727,114.634,110
10000,3.0,0.3048,71.3,0.00425727,110.224,111
400,3.0,0.3048,55.5,0.00452492,126.159,112
500,3.0,0.3048,55.5,0.00452492,128.179,113
630,3.0,0.3048,55.5,0.00452492,129.569,114
800,3.0,0.3048,55.5,0.00452492,129.949,115
1000,3.0,0.3048,55.5,0.00452492,129.329,116
1250,3.0,0.3048,55.5,0.00452492,127.329,117
1600,3.0,0.3048,55.5,0.00452492,124.439,118
2000,3.0,0.3048,55.5,0.00452492,123.069,119
2500,3.0,0.3048,55.5,0.00452492,122.439,120
3150,3.0,0.3048,55.5,0.00452492,120.189,121
4000,3.0,0.3048,55.5,0.00452492,118.689,122
5000,3.0,0.3048,55.5,0.00452492,117.309,123
6300,3.0,0.3048,55.5,0.00452492,115.679,124
8000,3.0,0.3048,55.5,0.00452492,113.799,125
10000,3.0,0.3048,55.5,0.00452492,112.169,126
315,3.0,0.3048,39.6,0.00495741,123.312,127
400,3.0,0.3048,39.6,0.00495741,125.472,128
500,3.0,0.3048,39.6,0.00495741,127.632,129
630,3.0,0.3048,39.6,0.00495741,129.292,130
800,3.0,0.3048,39.6,0.00495741,129.552,131
1000,3.0,0.3048,39.6,0.00495741,128.312,132
1250,3.0,0.3048,39.6,0.00495741,125.802,133
1600,3.0,0.3048,39.6,0.00495741,122.782,134
2000,3.0,0.3048,39.6,0.00495741,120.532,135
2500,3.0,0.3048,39.6,0.00495741,120.162,136
3150,3.0,0.3048,39.6,0.00495741,118.922,137
4000,3.0,0.3048,39.6,0.00495741,116.792,138
5000,3.0,0.3048,39.6,0.00495741,115.792,139
6300,3.0,0.3048,39.6,0.00495741,114.042,140
8000,3.0,0.3048,39.6,0.00495741,110.652,141
315,3.0,0.3048,31.7,0.00529514,123.118,142
400,3.0,0.3048,31.7,0.00529514,125.398,143
500,3.0,0.3048,31.7,0.00529514,127.548,144
630,3.0,0.3048,31.7,0.00529514,128.698,145
800,3.0,0.3048,31.7,0.00529514,128.708,146
1000,3.0,0.3048,31.7,0.00529514,126.838,147
1250,3.0,0.3048,31.7,0.00529514,124.838,148
1600,3.0,0.3048,31.7,0.00529514,122.088,149
2000,3.0,0.3048,31.7,0.00529514,120.088,150
2500,3.0,0.3048,31.7,0.00529514,119.598,151
3150,3.0,0.3048,31.7,0.00529514,118.108,152
4000,3.0,0.3048,31.7,0.00529514,115.608,153
5000,3.0,0.3048,31.7,0.00529514,113.858,154
6300,3.0,0.3048,31.7,0.00529514,109.718,155
250,4.0,0.3048,71.3,0.00497773,126.395,156
315,4.0,0.3048,71.3,0.00497773,128.175,157
400,4.0,0.3048,71.3,0.00497773,129.575,158
500,4.0,0.3048,71.3,0.00497773,130.715,159
630,4.0,0.3048,71.3,0.00497773,131.615,160
800,4.0,0.3048,71.3,0.00497773,131.755,161
1000,4.0,0.3048,71.3,0.00497773,131.015,162
1250,4.0,0.3048,71.3,0.00497773,129.395,163
1600,4.0,0.3048,71.3,0.00497773,126.645,164
2000,4.0,0.3048,71.3,0.00497773,124.395,165
2500,4.0,0.3048,71.3,0.00497773,123.775,166
3150,4.0,0.3048,71.3,0.00497773,121.775,167
4000,4.0,0.3048,71.3,0.00497773,119.535,168
5000,4.0,0.3048,71.3,0.00497773,117.785,169
6300,4.0,0.3048,71.3,0.00497773,116.165,170
8000,4.0,0.3048,71.3,0.00497773,113.665,171
10000,4.0,0.3048,71.3,0.00497773,110.905,172
12500,4.0,0.3048,71.3,0.00497773,107.405,173
250,4.0,0.3048,39.6,0.00579636,123.543,174
315,4.0,0.3048,39.6,0.00579636,126.843,175
400,4.0,0.3048,39.6,0.00579636,128.633,176
500,4.0,0.3048,39.6,0.00579636,130.173,177
630,4.0,0.3048,39.6,0.00579636,131.073,178
800,4.0,0.3048,39.6,0.00579636,130.723,179
1000,4.0,0.3048,39.6,0.00579636,128.723,180
1250,4.0,0.3048,39.6,0.00579636,126.343,181
1600,4.0,0.3048,39.6,0.00579636,123.213,182
2000,4.0,0.3048,39.6,0.00579636,120.963,183
2500,4.0,0.3048,39.6,0.00579636,120.233,184
3150,4.0,0.3048,39.6,0.00579636,118.743,185
4000,4.0,0.3048,39.6,0.00579636,115.863,186
5000,4.0,0.3048,39.6,0.00579636,113.733,187
1250,0.0,0.2286,71.3,0.00214345,128.144,188
1600,0.0,0.2286,71.3,0.00214345,129.134,189
2000,0.0,0.2286,71.3,0.00214345,128.244,190
2500,0.0,0.2286,71.3,0.00214345,128.354,191
3150,0.0,0.2286,71.3,0.00214345,127.834,192
4000,0.0,0.2286,71.3,0.00214345,125.824,193
5000,0.0,0.2286,71.3,0.00214345,124.304,194
6300,0.0,0.2286,71.3,0.00214345,122.044,195
8000,0.0,0.2286,71.3,0.00214345,118.024,196
10000,0.0,0.2286,71.3,0.00214345,118.134,197
12500,0.0,0.2286,71.3,0.00214345,117.624,198
16000,0.0,0.2286,71.3,0.00214345,114.984,199
20000,0.0,0.2286,71.3,0.00214345,114.474,200
315,0.0,0.2286,55.5,0.00229336,119.54,201
400,0.0,0.2286,55.5,0.00229336,121.66,202
500,0.0,0.2286,55.5,0.00229336,123.78,203
630,0.0,0.2286,55.5,0.00229336,126.16,204
800,0.0,0.2286,55.5,0.00229336,127.53,205
1000,0.0,0.2286,55.5,0.00229336,128.29,206
1250,0.0,0.2286,55.5,0.00229336,127.91,207
1600,0.0,0.2286,55.5,0.00229336,126.79,208
2000,0.0,0.2286,55.5,0.00229336,126.54,209
2500,0.0,0.2286,55.5,0.00229336,126.54,210
3150,0.0,0.2286,55.5,0.00229336,125.16,211
4000,0.0,0.2286,55.5,0.00229336,123.41,212
5000,0.0,0.2286,55.5,0.00229336,122.41,213
6300,0.0,0.2286,55.5,0.00229336,118.41,214
315,0.0,0.2286,39.6,0.00253511,121.055,215
400,0.0,0.2286,39.6,0.00253511,123.565,216
500,0.0,0.2286,39.6,0.00253511,126.195,217
630,0.0,0.2286,39.6,0.00253511,128.705,218
800,0.0,0.2286,39.6,0.00253511,130.205,219
1000,0.0,0.2286,39.6,0.00253511,130.435,220
1250,0.0,0.2286,39.6,0.00253511,129.395,221
1600,0.0,0.2286,39.6,0.00253511,127.095,222
2000,0.0,0.2286,39.6,0.00253511,125.305,223
2500,0.0,0.2286,39.6,0.00253511,125.025,224
3150,0.0,0.2286,39.6,0.00253511,124.625,225
4000,0.0,0.2286,39.6,0.00253511,123.465,226
5000,0.0,0.2286,39.6,0.00253511,122.175,227
6300,0.0,0.2286,39.6,0.00253511,117.465,228
315,0.0,0.2286,31.7,0.0027238,120.595,229
400,0.0,0.2286,31.7,0.0027238,123.635,230
500,0.0,0.2286,31.7,0.0027238,126.675,231
630,0.0,0.2286,31.7,0.0027238,129.465,232
800,0.0,0.2286,31.7,0.0027238,130.725,233
1000,0.0,0.2286,31.7,0.0027238,130.595,234
1250,0.0,0.2286,31.7,0.0027238,128.805,235
1600,0.0,0.2286,31.7,0.0027238,125.625,236
2000,0.0,0.2286,31.7,0.0027238,123.455,237
2500,0.0,0.2286,31.7,0.0027238,123.445,238
3150,0.0,0.2286,31.7,0.0027238,123.445,239
4000,0.0,0.2286,31.7,0.0027238,122.035,240
5000,0.0,0.2286,31.7,0.0027238,120.505,241
6300,0.0,0.2286,31.7,0.0027238,116.815,242
400,2.0,0.2286,71.3,0.00293031,125.116,243
500,2.0,0.2286,71.3,0.00293031,126.486,244
630,2.0,0.2286,71.3,0.00293031,127.356,245
800,2.0,0.2286,71.3,0.00293031,128.216,246
1000,2.0,0.2286,71.3,0.00293031,128.956,247
1250,2.0,0.2286,71.3,0.00293031,128.816,248
1600,2.0,0.2286,71.3,0.00293031,127.796,249
2000,2.0,0.2286,71.3,0.00293031,126.896,250
