feature_cylinders,feature_displacement,feature_weight,feature_model_year,feature_origin,intermediate_horsepower,intermediate_acceleration,target_mpg,ID_car_name
8,307.0,3504.0,70,1,130.0,12.0,18.0,chevrolet chevelle malibu
8,350.0,3693.0,70,1,165.0,11.5,15.0,buick skylark 320
8,318.0,3436.0,70,1,150.0,11.0,18.0,plymouth satellite
8,304.0,3433.0,70,1,150.0,12.0,16.0,amc rebel sst
8,302.0,3449.0,70,1,140.0,10.5,17.0,ford torino
8,429.0,4341.0,70,1,198.0,10.0,15.0,ford galaxie 500
8,454.0,4354.0,70,1,220.0,9.0,14.0,chevrolet impala
8,440.0,4312.0,70,1,215.0,8.5,14.0,plymouth fury iii
8,455.0,4425.0,70,1,225.0,10.0,14.0,pontiac catalina
8,390.0,3850.0,70,1,190.0,8.5,15.0,amc ambassador dpl
8,383.0,3563.0,70,1,170.0,10.0,15.0,dodge challenger se
8,340.0,3609.0,70,1,160.0,8.0,14.0,plymouth 'cuda 340
8,400.0,3761.0,70,1,150.0,9.5,15.0,chevrolet monte carlo
8,455.0,3086.0,70,1,225.0,10.0,14.0,buick estate wagon (sw)
4,113.0,2372.0,70,3,95.0,15.0,24.0,toyota corona mark ii
6,198.0,2833.0,70,1,95.0,15.5,22.0,plymouth duster
6,199.0,2774.0,70,1,97.0,15.5,18.0,amc hornet
6,200.0,2587.0,70,1,85.0,16.0,21.0,ford maverick
4,97.0,2130.0,70,3,88.0,14.5,27.0,datsun pl510
4,97.0,1835.0,70,2,46.0,20.5,26.0,volkswagen 1131 deluxe sedan
4,110.0,2672.0,70,2,87.0,17.5,25.0,peugeot 504
4,107.0,2430.0,70,2,90.0,14.5,24.0,audi 100 ls
4,104.0,2375.0,70,2,95.0,17.5,25.0,saab 99e
4,121.0,2234.0,70,2,113.0,12.5,26.0,bmw 2002
6,199.0,2648.0,70,1,90.0,15.0,21.0,amc gremlin
8,360.0,4615.0,70,1,215.0,14.0,10.0,ford f250
8,307.0,4376.0,70,1,200.0,15.0,10.0,chevy c20
8,318.0,4382.0,70,1,210.0,13.5,11.0,dodge d200
8,304.0,4732.0,70,1,193.0,18.5,9.0,hi 1200d
4,97.0,2130.0,71,3,88.0,14.5,27.0,datsun pl510
4,140.0,2264.0,71,1,90.0,15.5,28.0,chevrolet vega 2300
4,113.0,2228.0,71,3,95.0,14.0,25.0,toyota corona
4,98.0,2046.0,71,1,,19.0,25.0,ford pinto
6,232.0,2634.0,71,1,100.0,13.0,19.0,amc gremlin
6,225.0,3439.0,71,1,105.0,15.5,16.0,plymouth satellite custom
6,250.0,3329.0,71,1,100.0,15.5,17.0,chevrolet chevelle malibu
6,250.0,3302.0,71,1,88.0,15.5,19.0,ford torino 500
6,232.0,3288.0,71,1,100.0,15.5,18.0,amc matador
8,350.0,4209.0,71,1,165.0,12.0,14.0,chevrolet impala
8,400.0,4464.0,71,1,175.0,11.5,14.0,pontiac catalina brougham
8,351.0,4154.0,71,1,153.0,13.5,14.0,ford galaxie 500
8,318.0,4096.0,71,1,150.0,13.0,14.0,plymouth fury iii
8,383.0,4955.0,71,1,180.0,11.5,12.0,dodge monaco (sw)
8,400.0,4746.0,71,1,170.0,12.0,13.0,ford country squire (sw)
