feature_ambient_temperature,feature_exhaust_vacuum,feature_relative_humidity,intermediate_ambient_pressure,target_net_hourly_electrical_energy,ID_row
14.96,41.76,73.17,1024.07,463.26,0
25.18,62.96,59.08,1020.04,444.37,1
5.11,39.4,92.14,1012.16,488.56,2
20.86,57.32,76.64,1010.24,446.48,3
10.82,37.5,96.62,1009.23,473.9,4
26.27,59.44,58.77,1012.23,443.67,5
15.89,43.96,75.24,1014.02,467.35,6
9.48,44.71,66.43,1019.12,478.42,7
14.64,45.0,41.25,1021.78,475.98,8
11.74,43.56,70.72,1015.14,477.5,9
17.99,43.72,75.04,1008.64,453.02,10
20.14,46.93,64.22,1014.66,453.99,11
24.34,73.5,84.15,1011.31,440.29,12
25.71,58.59,61.83,1012.77,451.28,13
26.19,69.34,87.59,1009.48,433.99,14
21.42,43.79,43.08,1015.76,462.19,15
18.21,45.0,48.84,1022.86,467.54,16
11.04,41.74,77.51,1022.6,477.2,17
14.45,52.75,63.59,1023.97,459.85,18
13.97,38.47,55.28,1015.15,464.3,19
17.76,42.42,66.26,1009.09,468.27,20
5.41,40.07,64.77,1019.16,495.24,21
7.76,42.28,83.31,1008.52,483.8,22
27.23,63.9,47.19,1014.3,443.61,23
27.36,48.6,54.93,1003.18,436.06,24
27.47,70.72,74.62,1009.97,443.25,25
14.6,39.31,72.52,1011.11,464.16,26
7.91,39.96,88.44,1023.57,475.52,27
5.81,35.79,92.28,1012.14,484.41,28
30.53,65.18,41.85,1012.69,437.89,29
23.87,63.94,44.28,1019.02,445.11,30
26.09,58.41,64.58,1013.64,438.86,31
29.27,66.85,63.25,1011.11,440.98,32
27.38,74.16,78.61,1010.08,436.65,33
24.81,63.94,44.51,1018.76,444.26,34
12.75,44.03,89.46,1007.29,465.86,35
24.66,63.73,74.52,1011.4,444.37,36
16.38,47.45,88.86,1010.08,450.69,37
13.91,39.35,75.51,1014.69,469.02,38
23.18,51.3,78.64,1012.04,448.86,39
22.47,47.45,76.65,1007.62,447.14,40
13.39,44.85,80.44,1017.24,469.18,41
9.28,41.54,79.89,1018.33,482.8,42
11.82,42.86,88.28,1014.12,476.7,43
10.27,40.64,84.6,1020.63,474.99,44
22.92,63.94,42.69,1019.28,444.22,45
16.0,37.87,78.41,1020.24,461.33,46
21.22,43.43,61.07,1010.96,448.06,47
13.46,44.71,50.0,1014.51,474.6,48
9.39,40.11,77.29,1029.14,473.05,49
31.07,73.5,43.66,1010.58,432.06,50
12.82,38.62,83.8,1018.71,467.41,51
32.57,78.92,66.47,1011.6,430.12,52
8.11,42.18,93.09,1014.82,473.62,53
13.92,39.39,80.52,1012.94,471.81,54
23.04,59.43,68.99,1010.23,442.99,55
27.31,64.44,57.27,1014.65,442.77,56
5.91,39.33,95.53,1010.18,491.49,57
25.26,61.08,71.72,1013.68,447.46,58
27.97,58.84,57.88,1002.25,446.11,59
26.08,52.3,63.34,1007.03,442.44,60
29.01,65.71,48.07,1013.61,446.22,61
12.18,40.1,91.87,1016.67,471.49,62
13.76,45.87,87.27,1008.89,463.5,63
25.5,58.79,64.4,1016.02,440.01,64
28.26,65.34,43.4,1014.56,441.03,65
21.39,62.96,72.24,1019.49,452.68,66
7.26,40.69,90.22,1020.43,474.91,67
10.54,34.03,74.0,1018.71,478.77,68
27.71,74.34,71.85,998.14,434.2,69
23.11,68.3,86.62,1017.83,437.91,70
7.51,41.01,97.41,1024.61,477.61,71
26.46,74.67,84.44,1016.65,431.65,72
29.34,74.34,81.55,998.58,430.57,73
10.32,42.28,75.66,1008.82,481.09,74
22.74,61.02,79.41,1009.56,445.56,75
13.48,39.85,58.91,1012.71,475.74,76
25.52,69.75,90.06,1010.36,435.12,77
21.58,67.25,79.0,1017.39,446.15,78
27.66,76.86,69.47,1001.31,436.64,79
26.96,69.45,51.47,1013.89,436.69,80
12.29,42.18,83.13,1016.53,468.75,81
15.86,43.02,40.33,1012.18,466.6,82
13.87,45.08,81.69,1024.42,465.48,83
24.09,73.68,94.55,1014.93,441.34,84
20.45,69.45,91.81,1012.53,441.83,85
