target_cooler_condition,target_valve_condition,target_internal_pump_leakage,target_hydraulic_accumulator,ID_stable_flag,feature_ps1_mean,feature_ps1_std,feature_ps1_min,feature_ps1_max,feature_ps2_mean,feature_ps2_std,feature_ps2_min,feature_ps2_max,feature_fs1_mean,feature_fs1_std,feature_fs1_min,feature_fs1_max,feature_ts1_mean,feature_ts1_std,feature_ts1_min,feature_ts1_max,feature_vs1_mean,feature_vs1_std,feature_vs1_min,feature_vs1_max,feature_eps1_mean,feature_eps1_std,feature_eps1_min,feature_eps1_max,intermediate_ps3_mean,intermediate_ps3_std,intermediate_ps3_min,intermediate_ps3_max,intermediate_ps4_mean,intermediate_ps4_std,intermediate_ps4_min,intermediate_ps4_max,intermediate_ps5_mean,intermediate_ps5_std,intermediate_ps5_min,intermediate_ps5_max,intermediate_ps6_mean,intermediate_ps6_std,intermediate_ps6_min,intermediate_ps6_max,intermediate_fs2_mean,intermediate_fs2_std,intermediate_fs2_min,intermediate_fs2_max,intermediate_ts2_mean,intermediate_ts2_std,intermediate_ts2_min,intermediate_ts2_max,intermediate_ts3_mean,intermediate_ts3_std,intermediate_ts3_min,intermediate_ts3_max,intermediate_ts4_mean,intermediate_ts4_std,intermediate_ts4_min,intermediate_ts4_max,intermediate_ce_mean,intermediate_ce_std,intermediate_ce_min,intermediate_ce_max,intermediate_cp_mean,intermediate_cp_std,intermediate_cp_min,intermediate_cp_max,intermediate_se_mean,intermediate_se_std,intermediate_se_min,intermediate_se_max,ID_cycle
3,100,0,130,1,163.81973,18.173407,145.83,191.51,87.31664,58.467377,0.0,156.99,5.504413,3.881431,0.0,18.71,35.35133,0.13445856,35.156,35.57,0.5785667,0.027702812,0.532,0.619,2578.315,241.74602,2339.8,2951.6,2.3335695,0.1719509,2.078,4.641,0.0,0.0,0.0,0.0,9.765593,0.04410982,9.681,9.883,9.653913,0.044831533,9.568,9.771,10.385178,0.028079022,10.307,10.446,41.114605,0.07821801,40.961,41.25,38.51957,0.03657847,38.484,38.613,32.727135,0.6174972,31.609,33.594,33.971798,3.522946,28.866,40.427,1.6164,0.16312218,1.383,1.916,69.54289,3.7836587,56.919,79.568,0
3,100,0,130,1,163.9219,18.389244,145.73,191.47,87.26001,58.397186,0.0,157.56,5.4980054,3.858852,0.0,18.712,36.168434,0.34459838,35.648,36.738,0.5725,0.033192117,0.524,0.626,2575.1963,246.7026,2332.0,2947.4,2.308892,0.17275655,1.969,4.594,0.0,0.0,0.0,0.0,9.6073475,0.023795392,9.557,9.677,9.503796,0.023733322,9.454,9.573,10.401765,0.018729039,10.352,10.448,41.832592,0.16765717,41.52,42.105,39.110596,0.11330236,38.926,39.254,34.862137,0.17280655,34.547,35.148,24.338703,0.5210087,23.32,25.475,1.1910667,0.02139615,1.147,1.244,69.98843,3.877116,57.016,80.441,1
3,100,0,130,1,163.69585,18.47224,145.37,191.41,87.08356,58.320564,0.0,156.97,5.5127845,3.8776793,0.0,18.698,37.402466,0.36741725,36.879,38.016,0.5889,0.042767864,0.529,0.662,2563.9502,247.53043,2318.6,2939.8,2.306369,0.16921881,1.977,4.344,0.0,0.0,0.0,0.0,9.506099,0.025376227,9.455,9.576,9.403627,0.025732346,9.348,9.476,10.349244,0.020542791,10.296,10.408,42.789204,0.1679107,42.445,43.039,39.82433,0.15768394,39.602,40.062,35.896667,0.14236604,35.629,36.141,21.6556,0.20746548,21.22,22.121,1.0956331,0.012332839,1.076,1.118,70.1317,3.9064271,57.479,80.824,2
3,100,0,130,1,163.54749,18.517954,145.14,191.34,86.99149,58.28747,0.0,156.44,5.5134897,3.8863025,0.0,18.896,38.44277,0.35741684,37.887,39.055,0.5737334,0.039544854,0.527,0.645,2555.5286,248.53276,2310.8,2929.6,2.2668967,0.17650965,1.898,4.617,0.0,0.0,0.0,0.0,9.4123745,0.025086364,9.363,9.486,9.310829,0.025415542,9.257,9.387,10.28522,0.019581,10.241,10.334,43.75744,0.18252905,43.367,43.988,40.62773,0.20835663,40.316,40.934,36.804333,0.11039061,36.637,36.988,20.199902,0.34497726,19.673,20.708,1.0594333,0.028588668,1.022,1.101,70.33383,3.8964345,57.705,80.93,3
3,100,0,130,1,163.40271,18.575436,144.95,191.41,86.92341,58.180096,0.0,158.13,5.466406,3.8620749,0.0,18.876,39.346134,0.35949445,38.789,39.973,0.5857334,0.039647568,0.524,0.66,2547.163,248.87166,2301.8,2923.8,2.2423737,0.17082822,1.781,4.57,0.0,0.0,0.0,0.0,9.342419,0.022802033,9.29,9.4,9.245537,0.022624938,9.195,9.304,10.215185,0.016540708,10.179,10.261,44.66417,0.16160108,44.359,44.887,41.5498,0.15309781,41.332,41.777,37.633198,0.10368604,37.43,37.781,19.717466,0.20314449,19.327,20.016,1.0775667,0.017048327,1.049,1.106,70.2762,4.030388,57.104,81.1,4
3,100,0,130,1,163.35324,18.560373,144.71,191.28,86.92651,58.16389,0.0,156.55,5.4914646,3.862943,0.0,18.96,40.22157,0.34336206,39.633,40.738,0.57570004,0.03590371,0.525,0.643,2545.4397,248.51831,2297.0,2920.6,2.2350724,0.18491133,1.703,4.336,0.0,0.0,0.0,0.0,9.281057,0.02331426,9.233,9.347,9.187465,0.022667082,9.141,9.252,10.163544,0.014595011,10.126,10.207,45.49787,0.157087,45.133,45.687,42.341866,0.14942592,42.168,42.609,38.392498,0.09498303,38.258,38.586,19.127735,0.2367011,18.588,19.447,1.0806669,0.018680366,1.048,1.109,70.22766,3.9705706,57.152,80.946,5
3,100,0,130,1,163.09962,18.693052,144.49,191.19,86.69951,58.05982,0.0,155.04,5.492392,3.8736284,0.0,19.208,41.02297,0.32872313,40.539,41.562,0.58089995,0.03835479,0.518,0.649,2539.0725,250.77934,2290.0,2921.6,2.1989462,0.19848822,1.516,4.422,0.0,0.0,0.0,0.0,9.222277,0.021611594,9.17,9.276,9.132286,0.02202849,9.075,9.186,10.131774,0.0149537735,10.091,10.18,46.247776,0.14702062,45.945,46.457,43.061466,0.08986505,42.93,43.203,39.093933,0.086493574,38.922,39.242,18.573832,0.18051125,18.351,18.948,1.0839667,0.010634789,1.07,1.104,70.329796,4.010689,56.81,80.848,6
3,100,0,130,1,162.9603,18.770756,144.41,191.17,86.58973,58.02978,0.0,159.09,5.4664736,3.8573732,0.0,19.333,41.804195,0.33411613,41.227,42.32,0.58346665,0.046171952,0.525,0.669,2531.6663,250.39607,2285.0,2913.0,2.179699,0.24298953,1.555,4.648,0.0,0.0,0.0,0.0,9.1795225,0.023035131,9.125,9.25,9.090427,0.02421043,9.04,9.163,10.086291,0.016480982,10.049,10.138,46.954857,0.1303232,46.695,47.117,43.63047,0.12905295,43.465,43.875,39.706898,0.07515169,39.582,39.828,17.920267,0.24156576,17.418,18.38,1.0677333,0.018370152,1.033,1.105,70.34023,3.933539,57.474,81.01,7
3,100,0,130,1,162.85461,18.828207,144.12,191.14,86.49724,57.99438,0.0,167.22,5.4604983,3.8711927,0.0,19.577,42.50503,0.3189616,41.977,42.988,0.57350004,0.040634755,0.516,0.65,2527.571,252.25897,2279.8,2909.4,2.1593955,0.24278554,1.516,4.461,0.0,0.0,0.0,0.0,9.135505,0.021889266,9.085,9.193,9.04815,0.022588622,9.0,9.115,10.029263,0.014451819,9.991,10.072,47.62006,0.13915479,47.266,47.789,44.319508,0.09809541,44.187,44.457,40.2338,0.081208155,40.074,40.402,18.0909,0.22924934,17.587,18.51,1.1049669,0.015555248,1.073,1.138,70.34867,3.995661,57.272,81.186,8
3,100,0,130,1,162.7977,18.82397,144.16,191.16,86.475685,57.966526,0.0,162.14,5.4437675,3.8656397,0.0,19.432,43.142597,0.30876705,42.641,43.625,0.5753333,0.04067132,0.516,0.653,2522.9536,252.03406,2274.0,2905.4,2.143612,0.26071408,1.461,4.422,0.0,0.0,0.0,0.0,9.096894,0.022141254,9.052,9.158,9.011603,0.021996627,8.965,9.081,9.991205,0.012348959,9.962,10.023,48.260567,0.13318911,47.965,48.422,44.920036,0.1046367,44.77,45.129,40.752903,0.08601699,40.648,40.918,18.04943,0.15633097,17.72,18.299,1.1249334,0.011286956,1.108,1.147,70.314095,3.997103,56.731,80.907,9
