feature_school,feature_sex,feature_age,feature_address,feature_famsize,feature_pstatus,feature_medu,feature_fedu,feature_mjob,feature_fjob,feature_reason,feature_guardian,feature_traveltime,feature_studytime,feature_failures,feature_schoolsup,feature_famsup,feature_paid,feature_activities,feature_nursery,feature_higher,feature_internet,feature_romantic,feature_famrel,feature_freetime,feature_goout,feature_dalc,feature_walc,feature_health,feature_absences,feature_subject,intermediate_grade_period_1,intermediate_grade_period_2,target_final_grade,ID_subject,ID_row
GP,F,18,U,GT3,A,4,4,at_home,teacher,course,mother,2,2,0,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,3,6,mathematics,5,6,6,mathematics,0
GP,F,17,U,GT3,T,1,1,at_home,other,course,father,1,2,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,4,mathematics,5,5,6,mathematics,1
GP,F,15,U,LE3,T,1,1,at_home,other,other,mother,1,2,3,yes,no,yes,no,yes,yes,yes,no,4,3,2,2,3,3,10,mathematics,7,8,10,mathematics,2
GP,F,15,U,GT3,T,4,2,health,services,home,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,3,2,2,1,1,5,2,mathematics,15,14,15,mathematics,3
GP,F,16,U,GT3,T,3,3,other,other,home,father,1,2,0,no,yes,yes,no,yes,yes,no,no,4,3,2,1,2,5,4,mathematics,6,10,10,mathematics,4
GP,M,16,U,LE3,T,4,3,services,other,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,4,2,1,2,5,10,mathematics,15,15,15,mathematics,5
GP,M,16,U,LE3,T,2,2,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0,mathematics,12,12,11,mathematics,6
GP,F,17,U,GT3,A,4,4,other,teacher,home,mother,2,2,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,6,mathematics,6,5,6,mathematics,7
GP,M,15,U,LE3,A,3,2,services,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,1,1,0,mathematics,16,18,19,mathematics,8
GP,M,15,U,GT3,T,3,4,other,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,5,1,1,1,5,0,mathematics,14,15,15,mathematics,9
