feature_fixed_acidity,feature_volatile_acidity,feature_citric_acid,feature_residual_sugar,feature_chlorides,feature_free_sulfur_dioxide,feature_total_sulfur_dioxide,feature_sulphates,feature_wine_type,intermediate_density,intermediate_ph,intermediate_alcohol,target_quality,ID_wine_type,ID_row
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.56,red,0.9978,3.51,9.4,5,red,0
7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.68,red,0.9968,3.2,9.8,5,red,1
7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.65,red,0.997,3.26,9.8,5,red,2
11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.58,red,0.998,3.16,9.8,6,red,3
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.56,red,0.9978,3.51,9.4,5,red,4
7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.56,red,0.9978,3.51,9.4,5,red,5
7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.46,red,0.9964,3.3,9.4,5,red,6
7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.47,red,0.9946,3.39,10.0,7,red,7
7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.57,red,0.9968,3.36,9.5,7,red,8
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.8,red,0.9978,3.35,10.5,5,red,9
6.7,0.58,0.08,1.8,0.097,15.0,65.0,0.54,red,0.9959,3.28,9.2,5,red,10
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.8,red,0.9978,3.35,10.5,5,red,11
5.6,0.615,0.0,1.6,0.089,16.0,59.0,0.52,red,0.9943,3.58,9.9,5,red,12
7.8,0.61,0.29,1.6,0.114,9.0,29.0,1.56,red,0.9974,3.26,9.1,5,red,13
8.9,0.62,0.18,3.8,0.176,52.0,145.0,0.88,red,0.9986,3.16,9.2,5,red,14
8.9,0.62,0.19,3.9,0.17,51.0,148.0,0.93,red,0.9986,3.17,9.2,5,red,15
8.5,0.28,0.56,1.8,0.092,35.0,103.0,0.75,red,0.9969,3.3,10.5,7,red,16
8.1,0.56,0.28,1.7,0.368,16.0,56.0,1.28,red,0.9968,3.11,9.3,5,red,17
7.4,0.59,0.08,4.4,0.086,6.0,29.0,0.5,red,0.9974,3.38,9.0,4,red,18
7.9,0.32,0.51,1.8,0.341,17.0,56.0,1.08,red,0.9969,3.04,9.2,6,red,19
8.9,0.22,0.48,1.8,0.077,29.0,60.0,0.53,red,0.9968,3.39,9.4,6,red,20
7.6,0.39,0.31,2.3,0.082,23.0,71.0,0.65,red,0.9982,3.52,9.7,5,red,21
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.91,red,0.9966,3.17,9.5,5,red,22
8.5,0.49,0.11,2.3,0.084,9.0,67.0,0.53,red,0.9968,3.17,9.4,5,red,23
6.9,0.4,0.14,2.4,0.085,21.0,40.0,0.63,red,0.9968,3.43,9.7,6,red,24
6.3,0.39,0.16,1.4,0.08,11.0,23.0,0.56,red,0.9955,3.34,9.3,5,red,25
7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.59,red,0.9962,3.28,9.5,5,red,26
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.91,red,0.9966,3.17,9.5,5,red,27
7.1,0.71,0.0,1.9,0.08,14.0,35.0,0.55,red,0.9972,3.47,9.4,5,red,28
7.8,0.645,0.0,2.0,0.082,8.0,16.0,0.59,red,0.9964,3.38,9.8,6,red,29
6.7,0.675,0.07,2.4,0.089,17.0,82.0,0.54,red,0.9958,3.35,10.1,5,red,30
6.9,0.685,0.0,2.5,0.105,22.0,37.0,0.57,red,0.9966,3.46,10.6,6,red,31
8.3,0.655,0.12,2.3,0.083,15.0,113.0,0.66,red,0.9966,3.17,9.8,5,red,32
6.9,0.605,0.12,10.7,0.073,40.0,83.0,0.52,red,0.9993,3.45,9.4,6,red,33
5.2,0.32,0.25,1.8,0.103,13.0,50.0,0.55,red,0.9957,3.38,9.2,5,red,34
7.8,0.645,0.0,5.5,0.086,5.0,18.0,0.55,red,0.9986,3.4,9.6,6,red,35
7.8,0.6,0.14,2.4,0.086,3.0,15.0,0.6,red,0.9975,3.42,10.8,6,red,36
8.1,0.38,0.28,2.1,0.066,13.0,30.0,0.73,red,0.9968,3.23,9.7,7,red,37
5.7,1.13,0.09,1.5,0.172,7.0,19.0,0.48,red,0.994,3.5,9.8,4,red,38
7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.83,red,0.9978,3.33,10.5,5,red,39
7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.83,red,0.9978,3.33,10.5,5,red,40
8.8,0.61,0.3,2.8,0.088,17.0,46.0,0.51,red,0.9976,3.26,9.3,4,red,41
7.5,0.49,0.2,2.6,0.332,8.0,14.0,0.9,red,0.9968,3.21,10.5,6,red,42
8.1,0.66,0.22,2.2,0.069,9.0,23.0,1.2,red,0.9968,3.3,10.3,5,red,43
6.8,0.67,0.02,1.8,0.05,5.0,11.0,0.52,red,0.9962,3.48,9.5,5,red,44
4.6,0.52,0.15,2.1,0.054,8.0,65.0,0.56,red,0.9934,3.9,13.1,4,red,45
7.7,0.935,0.43,2.2,0.114,22.0,114.0,0.73,red,0.997,3.25,9.2,5,red,46
8.7,0.29,0.52,1.6,0.113,12.0,37.0,0.58,red,0.9969,3.25,9.5,5,red,47
6.4,0.4,0.23,1.6,0.066,5.0,12.0,0.56,red,0.9958,3.34,9.2,5,red,48
5.6,0.31,0.37,1.4,0.074,12.0,96.0,0.58,red,0.9954,3.32,9.2,5,red,49
8.8,0.66,0.26,1.7,0.074,4.0,23.0,0.74,red,0.9971,3.15,9.2,5,red,50
6.6,0.52,0.04,2.2,0.069,8.0,15.0,0.63,red,0.9956,3.4,9.4,6,red,51
