dataset,N,dx,da,dy,n_train,n_val,n_test,split,missing,X,ACP,Y
airfoil_self_noise,1503,4,1,1,961,241,301,"random trainval/test=80/20, train/val=80/20",drop rows with missing X/ACP/Y after conversion (0 rows dropped); drop all-missing/constant X/ACP columns (0 cols); one-hot categorical feature columns; StandardScaler fit on train only,"feature_frequency, feature_angle_of_attack, feature_chord_length, feature_free_stream_velocity",intermediate_suction_side_displacement_thickness,target_scaled_sound_pressure_level
energy_efficiency,768,8,1,1,491,123,154,"random trainval/test=80/20, train/val=80/20",drop rows with missing X/ACP/Y after conversion (0 rows dropped); drop all-missing/constant X/ACP columns (0 cols); one-hot categorical feature columns; StandardScaler fit on train only,"feature_relative_compactness, feature_surface_area, feature_wall_area, feature_roof_area, feature_overall_height, feature_orientation, feature_glazing_area, feature_glazing_area_distribution",intermediate_heating_load,target_cooling_load
hydraulic_systems,2205,23,44,4,1411,353,441,"random trainval/test=80/20, train/val=80/20",drop rows with missing X/ACP/Y after conversion (0 rows dropped); drop all-missing/constant X/ACP columns (1 cols); one-hot categorical feature columns; StandardScaler fit on train only,"feature_ps1_mean, feature_ps1_std, feature_ps1_min, feature_ps1_max, feature_ps2_mean, feature_ps2_std, feature_ps2_max, feature_fs1_mean ...","intermediate_ps3_mean, intermediate_ps3_std, intermediate_ps3_min, intermediate_ps3_max, intermediate_ps4_mean, intermediate_ps4_std, intermediate_ps4_min, intermediate_ps4_max ...","target_cooler_condition, target_valve_condition, target_internal_pump_leakage, target_hydraulic_accumulator"
household_power_consumption,34168,9,3,1,19133,4784,10251,fixed `split` train/test; train split further random 80/20 val,drop rows with missing X/ACP/Y after conversion (0 rows dropped); drop all-missing/constant X/ACP columns (0 cols); one-hot categorical feature columns; StandardScaler fit on train only,"feature_global_active_power, feature_voltage, feature_global_intensity, feature_hour_sin, feature_hour_cos, feature_dayofweek_sin, feature_dayofweek_cos, feature_month_sin ...","intermediate_sub_metering_1, intermediate_sub_metering_2, intermediate_sub_metering_3",target_global_reactive_power
concrete_slump_test,103,7,2,1,65,17,21,"random trainval/test=80/20, train/val=80/20",drop rows with missing X/ACP/Y after conversion (0 rows dropped); drop all-missing/constant X/ACP columns (0 cols); one-hot categorical feature columns; StandardScaler fit on train only,"feature_cement, feature_slag, feature_fly_ash, feature_water, feature_superplasticizer, feature_coarse_aggregate, feature_fine_aggregate","intermediate_slump, intermediate_flow",target_compressive_strength_28d
wine_quality,6497,10,3,1,4157,1040,1300,"GroupShuffleSplit by `ID_row`; trainval/test=80/20, train/val=80/20",drop rows with missing X/ACP/Y after conversion (0 rows dropped); drop all-missing/constant X/ACP columns (0 cols); one-hot categorical feature columns; StandardScaler fit on train only,"feature_fixed_acidity, feature_volatile_acidity, feature_citric_acid, feature_residual_sugar, feature_chlorides, feature_free_sulfur_dioxide, feature_total_sulfur_dioxide, feature_sulphates ...","intermediate_density, intermediate_ph, intermediate_alcohol",target_quality
superconductivity,21263,77,81,1,13608,3402,4253,"random trainval/test=80/20, train/val=80/20",drop rows with missing X/ACP/Y after conversion (0 rows dropped); drop all-missing/constant X/ACP columns (9 cols); one-hot categorical feature columns; StandardScaler fit on train only,"feature_element_H, feature_element_Li, feature_element_Be, feature_element_B, feature_element_C, feature_element_N, feature_element_O, feature_element_F ...","intermediate_descriptor_number_of_elements, intermediate_descriptor_mean_atomic_mass, intermediate_descriptor_wtd_mean_atomic_mass, intermediate_descriptor_gmean_atomic_mass, intermediate_descriptor_wtd_gmean_atomic_mass, intermediate_descriptor_entropy_atomic_mass, intermediate_descriptor_wtd_entropy_atomic_mass, intermediate_descriptor_range_atomic_mass ...",target_critical_temperature
auto_mpg,392,5,2,1,250,63,79,"random trainval/test=80/20, train/val=80/20",drop rows with missing X/ACP/Y after conversion (6 rows dropped); drop all-missing/constant X/ACP columns (0 cols); one-hot categorical feature columns; StandardScaler fit on train only,"feature_cylinders, feature_displacement, feature_weight, feature_model_year, feature_origin","intermediate_horsepower, intermediate_acceleration",target_mpg
combined_cycle_power_plant,9568,3,1,1,6123,1531,1914,"random trainval/test=80/20, train/val=80/20",drop rows with missing X/ACP/Y after conversion (0 rows dropped); drop all-missing/constant X/ACP columns (0 cols); one-hot categorical feature columns; StandardScaler fit on train only,"feature_ambient_temperature, feature_exhaust_vacuum, feature_relative_humidity",intermediate_ambient_pressure,target_net_hourly_electrical_energy
air_quality,6941,7,5,4,3700,926,2315,fixed `split` train/test; train split further random 80/20 val,drop rows with missing X/ACP/Y after conversion (2416 rows dropped); drop all-missing/constant X/ACP columns (0 cols); one-hot categorical feature columns; StandardScaler fit on train only,"feature_temperature, feature_relative_humidity, feature_absolute_humidity, feature_hour_sin, feature_hour_cos, feature_dayofweek_sin, feature_dayofweek_cos","intermediate_sensor_co, intermediate_sensor_nmhc, intermediate_sensor_nox, intermediate_sensor_no2, intermediate_sensor_o3","target_co, target_benzene, target_nox, target_no2"
