dataset,model,mean_rmse,std_rmse,mean_mae,mean_r2,std_r2,n_seeds,n_train,n_test,n_features,n_intermediates,n_targets
ai4i_predictive_maintenance,oracle_mlp,0.06660429462790489,0.0048784640665563124,0.01141497828066349,0.45101548433303834,0.035172418483426254,5,6400,2000,5,3,6
ai4i_predictive_maintenance,prism,0.10079666823148728,0.0037897766562880204,0.023411085084080695,0.025844287499785422,0.008737843244291051,5,6400,2000,5,3,6
ai4i_predictive_maintenance,simple_mlp,0.10085573345422745,0.003793788983191651,0.02356313094496727,0.02482861839234829,0.008552308283745359,5,6400,2000,5,3,6
ai4i_predictive_maintenance,cnn_mlp,0.10087384934191627,0.003820905621481932,0.023640338384699117,0.024723326794804323,0.008338445644769609,5,6400,2000,5,3,6
ai4i_predictive_maintenance,two_stage_mlp,0.10099612325429916,0.0037439578913501296,0.023501749336719512,0.022788313776254655,0.008818423528968498,5,6400,2000,5,3,6
ai4i_predictive_maintenance,ftt_mlp,0.10124780319127005,0.003823355594213446,0.02333861492745343,0.01838459131592483,0.006511123555375106,5,6400,2000,5,3,6
ai4i_predictive_maintenance,xgboost,0.10309353192010143,0.0035001367713379883,0.024617874083203983,-0.02681673856669258,0.023227070836716046,5,6400,2000,5,3,6
ai4i_predictive_maintenance,lightgbm,0.10315990448915627,0.0035554413891875055,0.026287840084201868,-0.02265713415667083,0.011803904792978945,5,6400,2000,5,3,6
ai4i_predictive_maintenance,prism_z_acp_lightgbm,0.10702378705704177,0.0019765140815560375,0.025385529195326672,-0.10927968223933082,0.05156438243183435,5,6400,2000,5,3,6
ai4i_predictive_maintenance,prism_z_lightgbm,0.10707408097097526,0.0019563723222176927,0.025369090432277537,-0.11036054296170228,0.05253810715493457,5,6400,2000,5,3,6
ai4i_predictive_maintenance,prism_z_acp_xgboost,0.10744662545819657,0.0015291540389190605,0.02308858081130679,-0.14147270065718484,0.07915548015837062,5,6400,2000,5,3,6
ai4i_predictive_maintenance,prism_z_xgboost,0.10749176503141825,0.001484330347401313,0.023136138025951415,-0.14805341959273496,0.08687774488467495,5,6400,2000,5,3,6
ai4i_predictive_maintenance,random_forest,0.11164548584200132,0.00276453063946932,0.023201708314702887,-0.2070036046059517,0.04285884493219139,5,6400,2000,5,3,6
