dataset,seed,model,n_rows,n_train,n_val,n_test,n_features,n_intermediates,n_targets,mean_rmse,mean_mae,mean_r2,target_rmse_json,target_r2_json,dropped_all_nan_cols,split_group_col,train_val_group_overlap,train_test_group_overlap,val_test_group_overlap,target_constant_within_group,mean_mse,target_mse_json
airfoil_self_noise,1,simple_mlp,1503,961,241,301,4,1,1,3.0741941928863525,2.185192584991455,0.7774941921234131,"{""target_scaled_sound_pressure_level"": 3.0741941928863525}","{""target_scaled_sound_pressure_level"": 0.7774941921234131}",,,0,0,0,False,9.450669935576173,"{""target_scaled_sound_pressure_level"": 9.450669935576173}"
airfoil_self_noise,1,random_forest,1503,961,241,301,4,1,1,1.9670184529403936,1.409471330704439,0.9089047563414177,"{""target_scaled_sound_pressure_level"": 1.9670184529403938}","{""target_scaled_sound_pressure_level"": 0.9089047563414177}",,,0,0,0,False,3.86916159420802,"{""target_scaled_sound_pressure_level"": 3.86916159420802}"
airfoil_self_noise,1,xgboost,1503,961,241,301,4,1,1,2.4717317861273864,1.842041453609856,0.8561593891505022,"{""target_scaled_sound_pressure_level"": 2.4717317861273864}","{""target_scaled_sound_pressure_level"": 0.8561593891505022}",,,0,0,0,False,6.10945802255248,"{""target_scaled_sound_pressure_level"": 6.10945802255248}"
airfoil_self_noise,1,lightgbm,1503,961,241,301,4,1,1,2.1754299086185838,1.5483735819263469,0.8885784941223045,"{""target_scaled_sound_pressure_level"": 2.1754299086185833}","{""target_scaled_sound_pressure_level"": 0.8885784941223045}",,,0,0,0,False,4.732495287312258,"{""target_scaled_sound_pressure_level"": 4.732495287312258}"
airfoil_self_noise,1,cnn_mlp,1503,961,241,301,4,1,1,1.469591353214862,1.1152111197603056,0.9491522184703128,"{""target_scaled_sound_pressure_level"": 1.4695913532148621}","{""target_scaled_sound_pressure_level"": 0.9491522184703128}",,,0,0,0,False,2.15969874544389,"{""target_scaled_sound_pressure_level"": 2.15969874544389}"
airfoil_self_noise,1,ftt_mlp,1503,961,241,301,4,1,1,1.780903892471403,1.310506795836529,0.9253276533208996,"{""target_scaled_sound_pressure_level"": 1.780903892471403}","{""target_scaled_sound_pressure_level"": 0.9253276533208996}",,,0,0,0,False,3.1716186742197943,"{""target_scaled_sound_pressure_level"": 3.1716186742197943}"
airfoil_self_noise,1,two_stage_mlp,1503,961,241,301,4,1,1,2.5731239318847656,1.8219316005706787,0.8441164493560791,"{""target_scaled_sound_pressure_level"": 2.5731239318847656}","{""target_scaled_sound_pressure_level"": 0.8441164493560791}",,,0,0,0,False,6.620966768838116,"{""target_scaled_sound_pressure_level"": 6.620966768838116}"
airfoil_self_noise,1,oracle_mlp,1503,961,241,301,4,1,1,2.4047632217407227,1.784430742263794,0.8638482093811035,"{""target_scaled_sound_pressure_level"": 2.4047632217407227}","{""target_scaled_sound_pressure_level"": 0.8638482093811035}",,,0,0,0,False,5.78288615263682,"{""target_scaled_sound_pressure_level"": 5.78288615263682}"
airfoil_self_noise,1,prism,1503,961,241,301,4,1,1,1.5482146739959717,1.12193500995636,0.9435659646987916,"{""target_scaled_sound_pressure_level"": 1.5482146739959717}","{""target_scaled_sound_pressure_level"": 0.9435659646987915}",,,0,0,0,False,2.396968676776453,"{""target_scaled_sound_pressure_level"": 2.396968676776453}"
airfoil_self_noise,1,prism_z_acp_random_forest,1503,961,241,301,4,1,1,2.341475131614548,1.7545201235642578,0.8709203043556866,"{""target_scaled_sound_pressure_level"": 2.3414751316145477}","{""target_scaled_sound_pressure_level"": 0.8709203043556866}",,,0,0,0,False,5.482505791969364,"{""target_scaled_sound_pressure_level"": 5.482505791969364}"
