dataset,recoverability_model,macro_r2_mean,macro_r2_min,macro_r2_max,macro_r2_std,macro_std_rmse_mean,macro_std_rmse_min,macro_std_rmse_max,macro_std_rmse_std,macro_std_mae_mean,macro_std_mae_std,oracle_gain_pct,n_seeds,n_rows,n_train,n_test,n_features,n_intermediates
air_quality,random_forest,0.00241850775544429,-0.009227950592043243,0.015940817009213924,0.009503283722473731,0.9761461976142709,0.9742896905841023,0.9787139193312798,0.0016447897688040888,0.7725685865596696,0.0012222157649409491,59.11567200066641,5,6941,3700,2315,7,5
air_quality,ridge,-0.09368377178907394,-0.09369523823261261,-0.09367536008358002,9.605078601703693e-06,1.0132778406143188,1.0084233283996582,1.019532561302185,0.00440845322950999,0.8430108189582824,0.0036482162418248537,59.11567200066641,5,6941,3700,2315,7,5
airfoil_self_noise,random_forest,-1.0000029609793697,-1.0000661648794724,-0.999925361380388,5.092296212537777e-05,1.2987359231092472,1.2189485437693115,1.425107196740351,0.07679378706579786,0.9574529880971412,0.07319122530045341,22.49853450018157,5,1503,961,301,4,1
airfoil_self_noise,ridge,-0.6372299671173096,-0.6879398822784424,-0.5714855790138245,0.04722597849988268,1.2200431823730469,1.1570271253585815,1.3066877126693726,0.05847296432375563,0.952766728401184,0.04992866032871865,22.49853450018157,5,1503,961,301,4,1
auto_mpg,random_forest,0.7192451220804623,0.6585200313111687,0.7755940214914347,0.04964093990478608,0.5008647337954881,0.45219288364022664,0.5634134142249201,0.043899436739466634,0.35913696387332106,0.022870127325324393,3.972545616593031,5,392,250,79,5,2
auto_mpg,ridge,0.6015026807785034,0.5429008603096008,0.6395487189292908,0.041049260568242395,0.6070217490196228,0.5623857378959656,0.691946268081665,0.05031453587284869,0.46167495250701907,0.02481073970507495,3.972545616593031,5,392,250,79,5,2
combined_cycle_power_plant,random_forest,-0.6925463209769538,-0.7034378959932246,-0.6707806701810128,0.013089249255522397,1.2606568422888487,1.2122578323261548,1.2928287742408093,0.029790192103876734,1.032298939079363,0.023291281566990785,6.471760578329137,5,9568,6123,1914,3,1
combined_cycle_power_plant,ridge,-0.31002169847488403,-0.34072345495224,-0.2929745018482208,0.019039509474619472,1.1344274997711181,1.1017234325408936,1.1586827039718628,0.020645784905636906,0.9107249736785888,0.014053597415792773,6.471760578329137,5,9568,6123,1914,3,1
concrete_slump_test,random_forest,0.34687541473068784,0.17551580384935916,0.7093011309638574,0.23642892762057882,0.8100198795515491,0.48955470163114334,0.8981378528657493,0.17945059864061833,0.612506159746042,0.13900079857200046,-13.522703969088184,5,103,65,21,7,2
concrete_slump_test,ridge,0.31335774064064026,0.18141576647758484,0.47266146540641785,0.11639469923968805,0.8417389631271363,0.6566803455352783,1.0285447835922241,0.1402167692395298,0.6851204991340637,0.09774997441926674,-13.522703969088184,5,103,65,21,7,2
energy_efficiency,random_forest,-0.9965961569952535,-1.0074475561220786,-0.9900319760301999,0.0071045572327382185,1.362735034409106,1.3262100898590867,1.3841257431507576,0.022962025945223074,1.1130652699330574,0.020512692354249015,5.435513482409016,5,768,491,154,8,1
energy_efficiency,ridge,-0.9233276724815369,-0.9656134247779846,-0.8825944066047668,0.0381802644474794,1.3464369773864746,1.3232150077819824,1.3740763664245605,0.019674771101033366,1.101371955871582,0.019838331180489627,5.435513482409016,5,768,491,154,8,1
household_power_consumption,random_forest,0.4825586175546367,0.4811510751473955,0.48424367519525324,0.0012411937219424637,0.646350291728898,0.6439360923010379,0.6481321793286011,0.0021987101950781372,0.31038868471717757,0.0012002083181166239,11.408630046870389,5,34168,19133,10251,9,3
household_power_consumption,ridge,0.42070102095603945,0.4207007884979248,0.4207015335559845,3.0201974058528506e-07,0.6873429536819458,0.6840155124664307,0.6906814575195312,0.0028359887157357266,0.41804381608963015,0.001579935085685199,11.408630046870389,5,34168,19133,10251,9,3
